,Weight (kg),Height (m),Fat_Percentage,Water_Intake (liters),BMI,Physical exercise,Proteins,Calories,BMI_calc,cal_from_macros,protein_per_kg,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc
0,65.27,1.62,26.800377179186803,1.5,24.87,0.01,106.05,1806.0,24.8704465782655,2139.59,1.624789336601808,725.0999999999999,47.77739381514478,685.16,7.260425438142023e+19
1,56.41,1.55,27.65502094955822,1.9,23.48,0.97,85.41,1577.0,23.479708636836623,1711.65,1.5140932458783904,-232.91000000000008,40.8098026823542,978.6184000000002,1.02050570044361e+20
2,58.98,1.67,24.32082112410528,1.88,21.15,-0.02,98.11,1608.0,21.148122915844954,1965.92,1.6634452356731095,805.74,44.63557970100271,654.5266,1.0796070881410969e+20
3,93.78,1.7,32.81357178608907,2.5,32.45,0.04,80.84,2657.0,32.44982698961938,1627.28,0.8620174877372574,1206.21,63.00743237900567,773.63,8.987921156899057e+19
4,52.42,1.88,17.307318603384633,2.91,14.83,3.0,133.05,1470.0,14.831371661385244,2659.2300000000005,2.538153376573827,303.5999999999999,43.34750358810577,711.4176000000001,5.264684819918977e+19
5,105.05,1.84,32.04906403773502,2.91,31.03,-0.04,67.92,2767.0,31.02847353497164,1369.66,0.6465492622560686,2313.67,71.38245822835935,516.8928,1.505159478350823e+20
6,58.41,1.78,20.54629200523472,2.71,18.44,-0.03,112.35,1867.0,18.435172326726423,2245.45,1.923472008217771,-86.90000000000009,46.4089108397424,1098.6596,5.21010619370904e+19
7,84.07,1.63,32.08817620708069,2.88,31.64,0.0,105.41,2191.0,31.6421393353156,2105.25,1.2538360889734743,1463.19,57.093470262707264,734.3912,1.179845981806973e+20
8,88.58,1.79,27.36724576855457,3.49,27.65,0.02,69.44,2587.0,27.645828781873224,1383.27,0.7839241363738992,524.6300000000001,64.33809369821437,1230.2752,8.55076051981236e+19
9,50.32,1.6,21.90937914793248,2.49,19.66,0.02,76.76,1247.0,19.65625,1527.67,1.5254372019077902,89.75,39.29520041276037,763.5654,4.879493878779312e+19
10,86.37,1.63,29.07152849804965,3.49,32.51,0.02,102.72,2476.0,32.507809853588775,2065.28,1.189301840916985,501.74,61.260920836234526,1203.956,9.983135243183448e+19
11,83.89,1.82,23.64931819941694,3.51,25.33,0.01,93.27,2232.0,25.32604757879483,1848.79,1.1118130885683633,-501.4000000000001,64.05058696250913,1379.5166,1.1169467953176178e+20
