,Weight (kg),Height (m),Fat_Percentage,Water_Intake (liters),BMI,Physical exercise,Proteins,Calories,BMI_calc,cal_from_macros,protein_per_kg,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,
0,65.27,1.62,26.800377179186800,1.5,24.87,0.01,106.05,1806.0,24.8704465782655,2139.59,1.624789336601810,725.1000000000000,47.77739381514480,685.16,72604254381420200000.0000000000000000000,
1,56.41,1.55,27.65502094955820,1.9,23.48,0.97,85.41,1577.0,23.479708636836600,1711.65,1.5140932458783900,-232.91000000000000,40.8098026823542,978.6184000000000,102050570044361000000.000000000000000000,
2,58.98,1.67,24.32082112410530,1.88,21.15,-0.02,98.11,1608.0,21.148122915845000,1965.92,1.6634452356731100,805.74,44.63557970100270,654.5266,107960708814110000000.00000000000000000000,
3,93.78,1.7,32.81357178608910,2.5,32.45,0.04,80.84,2657.0,32.44982698961940,1627.28,0.8620174877372570,1206.21,63.00743237900570,773.63,89879211568990600000.0000000000000000000,
4,52.42,1.88,17.307318603384600,2.91,14.83,3.0,133.05,1470.0,14.831371661385200,2659.2300000000000,2.538153376573830,303.6000000000000,43.34750358810580,711.4176000000000,52646848199189800000.0000000000000000000,
5,105.05,1.84,32.04906403773500,2.91,31.03,-0.04,67.92,2767.0,31.02847353497160,1369.66,0.6465492622560690,2313.67,71.38245822835940,516.8928,150515947835082000000.0000000000000000000,
6,58.41,1.78,20.54629200523470,2.71,18.44,-0.03,112.35,1867.0,18.435172326726400,2245.45,1.923472008217770,-86.90000000000010,46.4089108397424,1098.6596,52101061937090400000.000000000000000000,
7,84.07,1.63,32.08817620708070,2.88,31.64,0.0,105.41,2191.0,31.6421393353156,2105.25,1.2538360889734700,1463.19,57.093470262707300,734.3912,117984598180697000000.0000000000000000000,
8,88.58,1.79,27.36724576855460,3.49,27.65,0.02,69.44,2587.0,27.645828781873200,1383.27,0.7839241363738990,524.6300000000000,64.33809369821440,1230.2752,85507605198123600000.000000000000000000,
9,50.32,1.6,21.90937914793250,2.49,19.66,0.02,76.76,1247.0,19.65625,1527.67,1.5254372019077900,89.75,39.29520041276040,763.5654,48794938787793100000.0000000000000000000,
10,86.37,1.63,29.07152849804970,3.49,32.51,0.02,102.72,2476.0,32.507809853588800,2065.28,1.189301840916990,501.74,61.260920836234500,1203.956,99831352431834500000.0000000000000000000,
11,83.89,1.82,23.64931819941690,3.51,25.33,0.01,93.27,2232.0,25.32604757879480,1848.79,1.1118130885683600,-501.4000000000000,64.05058696250910,1379.5166,111694679531762000000.00000000000000000000,
12,82.66,1.96,24.128786918912300,3.5,21.52,0.01,71.6,2569.0,21.5170762182424,1446.67,0.8661988870070170,-131.6200000000000,62.7151447328271,1353.0888000000000,103932882376513000000.00000000000000000000,
13,57.67,1.56,26.59443119940610,2.71,23.7,2.99,147.77,1726.0,23.6974030243261,2955.34,2.5623374371423600,-619.2000000000000,42.33299152730250,1110.4112,65899476055317500000.0000000000000000000,
14,71.79,1.97,24.477762525784000,3.59,18.5,0.02,82.59,2046.0,18.498286479940200,1654.72,1.1504387797743400,1302.15,54.21741428273970,535.245,101282878269139000000.00000000000000000000,
15,95.12,1.85,28.04992817494380,2.3,27.79,0.96,118.86,2455.0,27.792549306062800,2384.3,1.2495794785534100,1161.16,68.4389083199935,863.376,108230759975374000000.00000000000000000000,
16,56.88,1.71,21.80926489283510,2.69,19.45,0.01,76.8,1740.0,19.45213911972920,1538.55,1.350210970464140,-449.5800000000000,44.47489012895540,1280.8378000000000,72414058960355500000.00000000000000000000,
17,76.48,1.77,30.300737914959800,2.09,24.41,-0.02,92.99,2166.0,24.411886750295300,1868.13,1.215873430962340,860.4000000000000,53.30599564263880,970.9856,101631198231636000000.00000000000000000000,
18,72.56,1.79,26.40511440359580,1.58,22.65,0.02,87.27,1802.0,22.645984831934100,1750.89,1.202728776185230,998.64,53.40044898875090,538.0344,56359998965249400000.0000000000000000000,
19,60.05,1.68,21.804029360668200,2.51,21.28,0.01,99.4,1716.0,21.27621882086170,1985.6,1.6552872606161500,171.6000000000000,46.95668036891870,819.5382,86957109659291900000.0000000000000000000,
20,73.04,1.74,25.78541781279680,2.39,24.12,1.0,120.63,2038.0,24.124719249570600,2405.7,1.6515607886089800,914.8,54.20633082953320,694.0336000000000,58544490391463300000.0000000000000000000,
21,86.72,1.63,29.12385208982390,3.51,32.64,-0.01,103.91,2212.0,32.63954232376080,2062.16,1.198224169741700,886.0,61.46379546770470,1212.44,100750823143186000000.0000000000000000000,
22,76.77,1.71,29.31860660365030,1.82,26.25,1.01,89.25,2182.0,26.254232071406600,1775.4900000000000,1.1625635013677200,967.88,54.26210571037770,897.7122,93663649788503200000.0000000000000000000,
23,88.29,1.79,26.7693540494346,3.48,27.56,-0.01,69.19,2410.0,27.555319746574700,1392.84,0.783667459508438,578.19,64.65533730975420,1234.3232,87833035957022700000.0000000000000000000,
24,57.01,1.91,22.39259644326160,2.72,15.63,0.0,71.05,1510.0,15.627312847783800,1421.78,1.2462725837572400,332.80000000000000,44.24398076769660,784.8872000000000,108970279711690000000.00000000000000000000,
25,87.22,1.76,28.418499463942600,3.39,28.16,0.0,118.4,2269.0,28.15728305785120,2375.5,1.3574868149507000,1201.62,62.43338476754930,1001.368,65518873463922100000.0000000000000000000,
26,105.44,1.88,30.892571504734000,2.28,29.83,0.02,79.79,3016.0,29.83250339520150,1587.97,0.7567336874051590,1738.14,72.86687260540850,945.3374,97991959497766500000.0000000000000000000,
27,102.34,1.94,32.46285886287700,2.41,27.19,-0.03,111.71,2624.0,27.192050164735900,2249.97,1.0915575532538600,1832.0,69.11751023973170,663.5880000000000,132205454097363000000.00000000000000000000,
28,89.6,1.99,23.09052321392090,2.02,22.63,1.04,128.81,2601.0,22.62569127042250,2570.85,1.4376116071428600,753.0,68.91089120032690,950.18,67198379754830300000.0000000000000000000,
29,58.56,1.61,24.496921662616800,2.72,22.59,0.03,92.48,1549.0,22.591720998418300,1847.25,1.5792349726776000,-677.4200000000000,44.214602674371600,1270.188,59395332047804300000.0000000000000000000,
30,76.9,1.86,29.439410708808700,2.8,22.23,0.0,82.81,1981.0,22.22800323736850,1659.36,1.076853055916780,1153.69,54.26109316492610,813.9470000000000,94664108222078300000.000000000000000000,
31,52.57,1.84,14.84197561792190,3.1,15.53,-0.02,68.42,1497.0,15.527528355387500,1361.81,1.3015027582271300,172.20000000000000,44.76757341765840,955.8156,79318820852974900000.0000000000000000000,
32,126.53,1.83,35.0,2.09,37.78,0.02,122.78,3255.0,37.7825554659739,2443.9100000000000,0.9703627598198060,2464.32,82.2445,794.64,111871666389071000000.00000000000000000000,
33,59.72,1.74,19.446703083030100,2.7,19.73,-0.03,80.05,1741.0,19.72519487382750,1609.46,1.3404219691895500,-804.4000000000000,48.1064289188144,1299.222,121720577929388000000.00000000000000000000,
34,76.59,1.82,22.57558193854220,2.8,23.12,-0.02,76.42,1950.0,23.122207462866800,1512.84,0.9977803890847370,877.2,59.299361793270500,1025.3286,75224088178328300000.0000000000000000000,
35,79.99,1.76,28.830453231342900,3.5,25.82,0.01,94.49,2030.0,25.82321797520660,1885.37,1.1812726590823900,127.30000000000000,56.92852046024880,1135.2298,82983019591509600000.0000000000000000000,
36,127.55,1.73,35.0,2.91,42.62,-0.01,117.99,3313.0,42.61752814995490,2368.34,0.9250490003920030,1705.16,82.9075,345.93300000000000,27039504324756000.00000000000000000000,
37,56.96,1.7,23.5650452462822,2.7,19.71,-0.01,83.24,1390.0,19.70934256055360,1652.53,1.461376404494380,494.6,43.53735022771770,529.5588,103577644893700000000.00000000000000000000,
38,56.53,1.51,28.50765309226650,2.11,24.79,0.01,85.55,1489.0,24.79277224683130,1719.13,1.513355740314880,177.09000000000000,40.414623706941800,905.7618,54247396426344300000.0000000000000000000,
39,88.2,1.98,21.047071801739800,3.5,22.5,1.0,118.19,2531.0,22.497704315886100,2371.53,1.340022675736960,-46.96000000000000,69.63648267086550,1211.5800000000000,62801493579697700000.000000000000000000,
40,51.72,1.61,23.71315012526440,3.32,19.95,-0.02,86.75,1325.0,19.952933914586600,1731.8200000000000,1.6773008507347300,758.43,39.45555875521330,618.168,107397967226321000000.00000000000000000000,
41,77.05,1.79,25.765634036189100,2.0,24.05,0.02,115.86,2334.0,24.047314378452600,2326.01,1.5036988968202500,484.46,57.19757897511630,928.928,55862996319761200000.0000000000000000000,
42,51.93,1.67,22.0592370284323,1.51,18.62,0.01,112.63,1353.0,18.620244540858400,2254.06,2.1688811862122100,-465.3,40.47463821113510,1052.64,88284172341688500000.0000000000000000000,
43,109.87,1.77,33.42563807603810,3.42,35.07,0.01,122.15,2728.0,35.069743687956800,2453.7700000000000,1.1117684536270100,1941.89,73.14525144585690,879.0292,134210863492362000000.00000000000000000000,
44,102.83,1.75,29.93347627236050,2.21,33.58,-0.01,115.2,2657.0,33.57714285714290,2306.15,1.12029563356997,1653.2,72.04940634913170,1018.5840000000000,118569111824067000000.00000000000000000000,
45,88.65,1.79,29.59749049937580,3.47,27.67,4.0,171.53,2621.0,27.66767579039360,3426.16,1.934912577552170,130.89000000000000,62.411824672303300,1300.302,147554281174722000000.00000000000000000000,
46,80.78,1.9,22.6918319466272,3.5,22.38,-0.01,63.98,2174.0,22.37673130193910,1291.41,0.7920277296360490,-401.98,62.44953815351460,1280.412,98624405212922600000.000000000000000000,
47,70.53,1.5,30.919318997894100,2.6,31.35,-0.04,85.89,1839.0,31.346666666666700,1736.25,1.2177796682262900,827.92,48.72260431078530,848.4930000000000,132939657453090000000.00000000000000000000,
48,54.73,1.61,22.609754391390200,2.71,21.11,0.02,109.75,1549.0,21.11415454650670,2196.71,2.005298739265490,340.0,42.35568142159220,1033.261,58030605925335400000.0000000000000000000,
49,52.75,1.66,23.56556909365820,2.49,19.14,0.0,98.22,1446.0,19.142836405864400,1976.68,1.8619905213270100,197.47000000000000,40.319162303095300,882.9072,87221112150222700000.0000000000000000000,
50,84.36,1.76,26.90164503779490,3.5,27.23,0.02,100.12,2285.0,27.233987603305800,2010.82,1.1868183973447100,976.62,61.665772246116200,1182.4512,90444471415829800000.000000000000000000,
51,59.66,1.76,21.52076364412730,2.7,19.26,0.01,80.95,1789.0,19.260072314049600,1616.8300000000000,1.356855514582640,1.5799999999999300,46.82071240991360,1159.4176,63552197837968500000.0000000000000000000,
52,59.98,1.71,21.92316157235520,2.02,20.51,-0.02,72.16,1648.0,20.51229438117710,1436.74,1.2030676892297400,148.96000000000000,46.83048768890130,495.7024,894444018062853000.0000000000000000000,
53,76.83,1.62,28.97544940228810,2.29,29.28,1.99,125.01,2268.0,29.27526291723820,2499.71,1.627098789535340,1268.03,54.56816222422210,959.4058,77101530369078400000.0000000000000000000,
54,58.43,1.61,27.545948725226100,2.01,22.54,-0.01,87.44,1771.0,22.54156861232200,1756.88,1.4964915283244900,475.0,42.33490215985040,841.824,88037846424304100000.0000000000000000000,
55,71.32,1.88,23.967493304534400,2.21,20.18,0.0,101.44,1934.0,20.178813942960600,2043.3,1.4223219293325900,1268.5,54.226383775206000,404.052,128330474758872000000.00000000000000000000,
56,55.58,1.71,20.39435029298730,2.7,19.01,-0.02,81.81,1656.0,19.00755788105740,1632.0600000000000,1.471932349766100,-383.97,44.24482010715770,1336.0928,69646524050706800000.0000000000000000000,
57,44.9,1.68,20.66838612087240,2.42,15.91,0.02,113.61,1242.0,15.908446712018100,2268.2000000000000,2.530289532293990,149.3800000000000,35.61989463172830,682.9620000000000,65203180212301800000.0000000000000000000,
58,59.21,1.51,24.98062256347280,2.71,25.97,-0.02,72.39,1872.0,25.968159291259200,1448.56,1.222597534200300,-548.4200000000000,44.41897338016770,1201.3534,98082090316335500000.000000000000000000,
59,87.68,1.63,29.90042295012660,3.5,33.0,3.99,163.87,2558.0,33.00086567051830,3279.35,1.8689552919708000,505.7800000000000,61.46330915732900,1302.245,142533424796820000000.00000000000000000000,
60,63.63,1.54,29.042268221161800,2.71,26.83,0.02,89.45,1918.0,26.82998819362460,1781.56,1.4057834354864100,190.27,45.150404730874800,1223.3536,131679034309426000000.00000000000000000000,
61,109.54,1.91,30.72971438912610,2.22,30.03,0.0,122.84,2956.0,30.026589183410500,2454.23,1.1214168340332300,1890.4,75.87867085815130,1058.5256,103105653296377000000.00000000000000000000,
62,125.88,1.86,35.0,2.2,36.39,0.0,120.07,3424.0,36.38570933055840,2388.17,0.953844931680966,2463.2,81.822,732.86,125812238301957000000.00000000000000000000,
63,70.32,1.68,29.252529769449300,2.51,24.91,0.02,119.65,1861.0,24.91496598639460,2395.48,1.7015073947667800,713.6400000000000,49.74962106612320,600.996,7413203192309460000.000000000000000000,
64,85.56,1.69,28.59816726529330,3.49,29.96,-0.02,80.59,2366.0,29.95693428101260,1609.59,0.941912108461898,523.78,61.09140808781510,1227.2826,80032535826279000000.0000000000000000000,
65,64.38,1.78,22.68075382819340,1.79,20.32,0.0,84.99,1731.0,20.31940411564200,1701.96,1.320130475302890,292.21000000000000,49.7781306854091,968.9316,119853246385477000000.00000000000000000000,
66,60.51,1.59,27.30236727987140,2.21,23.93,-0.05,81.36,1615.0,23.93497092678300,1624.99,1.3445711452652500,602.08,43.98933755894980,574.1720000000000,5481329790836480000.0000000000000000000,
67,69.13,1.58,28.50902646757630,2.0,27.69,1.01,101.9,1995.0,27.691876301874700,2038.99,1.4740344278894800,921.31,49.42171000296450,999.045,60847423412225800000.0000000000000000000,
68,97.49,1.96,26.502290685568000,3.4,25.38,0.98,109.74,2502.0,25.3774468971262,2209.69,1.1256539132218700,1034.42,71.65291681063970,1009.4736,139618044535352000000.00000000000000000000,
69,85.97,1.82,28.148384968178700,3.5,25.95,3.0,99.54,2466.0,25.953991063881200,1995.73,1.1578457601488900,-341.1100000000000,61.77083344285680,1335.1912,69263587363745800000.0000000000000000000,
70,56.0,1.57,28.373558365381900,2.42,22.72,1.0,83.47,1433.0,22.7189744005842,1663.3100000000000,1.4905357142857100,471.83,40.11080731538620,660.9968,69446499745714000000.0000000000000000000,
